               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061531,            0.027593,           0.0023583,             0.57864,             0.60136,             0.58439,             0.20647,            0.057475,            0.016254,           0.0027907,           0.0068524,           0.0068524,            0.014452
                  37,            0.065387,             0.02952,           0.0022667,             0.60836,             0.57042,             0.61056,             0.23103,            0.052781,            0.016873,           0.0029301,           0.0069155,           0.0069155,            0.012016
                  38,            0.065306,            0.030825,           0.0026284,              0.4493,             0.51145,             0.52062,             0.18966,            0.057078,            0.017573,           0.0035677,           0.0069705,           0.0069705,           0.0095705
                  39,            0.061818,            0.030216,           0.0026661,             0.60769,             0.59966,             0.62608,             0.28113,            0.049639,            0.018076,           0.0038037,           0.0070173,           0.0070173,           0.0071173
                  40,            0.059861,            0.029804,           0.0029499,             0.45036,             0.47149,             0.46583,             0.15613,            0.055546,            0.017707,           0.0039434,           0.0068906,           0.0068906,           0.0068906
                  41,            0.061365,            0.031108,           0.0027205,             0.56204,             0.42526,             0.51317,              0.1526,            0.052489,            0.017242,           0.0034966,           0.0068906,           0.0068906,           0.0068906
                  42,            0.065793,            0.030201,           0.0024642,             0.68682,             0.50377,              0.6052,             0.20658,            0.055693,             0.01673,           0.0032405,           0.0067555,           0.0067555,           0.0067555
                  43,            0.067415,            0.033978,           0.0027503,             0.59991,             0.64127,             0.63482,             0.25863,            0.048377,            0.017638,           0.0028418,           0.0066191,           0.0066191,           0.0066191
                  44,            0.057573,            0.034441,           0.0026318,             0.53085,             0.59107,             0.60296,             0.17594,            0.050479,            0.017185,           0.0027946,           0.0064816,           0.0064816,           0.0064816
                  45,            0.060902,            0.033711,           0.0024838,             0.62544,             0.59214,             0.64691,             0.31427,            0.050673,            0.016542,           0.0026973,           0.0063432,           0.0063432,           0.0063432
                  46,            0.059074,            0.028663,            0.002308,             0.78258,             0.69136,             0.80948,             0.38752,            0.044498,            0.016384,           0.0027401,            0.006204,            0.006204,            0.006204
                  47,            0.053287,            0.027745,           0.0022721,             0.58015,             0.69883,             0.70067,             0.24606,            0.046023,            0.016348,           0.0025206,            0.006064,            0.006064,            0.006064
