               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10583,            0.027947,            0.035956,            0.025621,            0.027649,           0.0076257,           0.0014475,             0.07182,            0.027108,             0.03061,             0.00174,             0.00174,             0.08434
                   1,            0.070096,            0.024972,            0.027843,              0.4923,              0.3689,             0.24302,            0.077982,            0.054863,            0.020212,            0.024106,           0.0034892,           0.0034892,            0.068589
                   2,            0.064965,            0.020302,            0.021815,                0.45,             0.64855,             0.55418,             0.26165,            0.049203,            0.017903,            0.018124,           0.0052353,           0.0052353,            0.052835
                   3,            0.064978,            0.016606,            0.015558,             0.71998,             0.71823,             0.76831,             0.35096,            0.048638,            0.014295,            0.011957,            0.006976,            0.006976,            0.037076
                   4,            0.064275,              0.0152,            0.011878,             0.53534,             0.61629,             0.52439,             0.21466,            0.056473,            0.012891,            0.010693,            0.008709,            0.008709,            0.021309
                   5,             0.06403,            0.013711,           0.0093068,             0.53394,             0.77582,             0.60412,             0.25303,            0.052109,            0.010999,           0.0065524,           0.0099446,           0.0099446,           0.0099446
                   6,            0.059798,            0.012065,           0.0066718,             0.62712,             0.83596,             0.79899,             0.38574,             0.04229,           0.0099498,           0.0054979,           0.0099446,           0.0099446,           0.0099446
                   7,              0.0541,            0.012089,           0.0056313,             0.52445,             0.82526,             0.70052,             0.27685,            0.047782,           0.0092474,           0.0034742,           0.0099203,           0.0099203,           0.0099203
