               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026677,           0.0065481,           0.0019093,             0.90252,              0.9625,             0.96811,             0.77407,             0.02063,           0.0058771,           0.0016301,           0.0076679,           0.0076679,           0.0076679
                  36,             0.02766,           0.0067897,           0.0019063,             0.89711,             0.96965,             0.96939,             0.77184,            0.019998,           0.0057391,           0.0015917,            0.007543,            0.007543,            0.007543
                  37,            0.027566,           0.0067921,           0.0018305,             0.90696,             0.97469,             0.97122,             0.79653,            0.019638,           0.0056651,           0.0017996,            0.007416,            0.007416,            0.007416
                  38,            0.024575,           0.0064418,            0.001964,             0.90067,             0.95591,             0.97015,             0.75865,            0.019537,           0.0059168,           0.0014979,           0.0072872,           0.0072872,           0.0072872
                  39,             0.02643,           0.0064101,           0.0017017,             0.91958,              0.9667,             0.97977,             0.76365,            0.020281,           0.0056453,           0.0014641,           0.0071566,           0.0071566,           0.0071566
                  40,             0.02538,           0.0064841,           0.0016389,             0.89093,              0.9752,             0.97198,             0.79604,            0.020033,           0.0057495,           0.0015221,           0.0070243,           0.0070243,           0.0070243
                  41,            0.025399,           0.0065125,           0.0018734,              0.8966,             0.96237,             0.96122,             0.79298,             0.01889,           0.0056105,           0.0013919,           0.0068906,           0.0068906,           0.0068906
                  42,            0.025491,            0.006072,           0.0016383,             0.90146,             0.96162,             0.96745,             0.79163,            0.018831,           0.0055844,           0.0015822,           0.0067555,           0.0067555,           0.0067555
                  43,            0.023831,           0.0065484,           0.0017666,             0.89828,             0.96569,             0.97544,             0.79902,            0.019234,           0.0055496,           0.0015227,           0.0066191,           0.0066191,           0.0066191
                  44,            0.024134,           0.0060856,            0.001484,             0.91764,             0.95418,              0.9745,             0.75659,            0.020246,           0.0056274,           0.0011282,           0.0064816,           0.0064816,           0.0064816
                  45,            0.023358,            0.005805,           0.0015786,             0.90864,             0.97154,             0.97752,             0.76232,            0.019501,           0.0053691,           0.0013181,           0.0063432,           0.0063432,           0.0063432
                  46,            0.023834,           0.0061887,           0.0015982,             0.88752,              0.9776,             0.97225,             0.77995,            0.018244,           0.0054157,           0.0011895,            0.006204,            0.006204,            0.006204
                  47,            0.022345,           0.0059025,           0.0013728,             0.91191,             0.94455,             0.96937,             0.78562,            0.018181,           0.0054847,           0.0015641,            0.006064,            0.006064,            0.006064
                  48,            0.021661,           0.0055666,           0.0014739,             0.89069,             0.98161,             0.96423,             0.81017,            0.016549,           0.0052363,           0.0011642,           0.0059235,           0.0059235,           0.0059235
                  49,            0.022076,           0.0057991,           0.0013098,              0.8906,             0.97393,             0.96718,             0.78691,            0.017753,             0.00533,           0.0009601,           0.0057826,           0.0057826,           0.0057826
                  50,            0.021979,           0.0057553,           0.0014269,             0.89768,             0.98173,             0.97482,             0.81894,            0.015328,           0.0051203,           0.0011295,           0.0056413,           0.0056413,           0.0056413
                  51,            0.020812,           0.0055739,           0.0012821,             0.90505,             0.96534,             0.97163,             0.82185,            0.016081,            0.005136,           0.0010165,              0.0055,              0.0055,              0.0055
                  52,            0.020727,           0.0055671,           0.0011427,             0.91656,             0.95372,             0.97885,             0.82858,             0.01585,           0.0052129,           0.0010357,           0.0053587,           0.0053587,           0.0053587
                  53,            0.019997,           0.0053961,            0.001417,             0.87749,             0.97908,              0.9604,             0.79596,            0.015633,           0.0053006,           0.0011454,           0.0052174,           0.0052174,           0.0052174
                  54,            0.020641,           0.0056281,           0.0011221,             0.91431,             0.97411,             0.97482,             0.83206,            0.015314,           0.0049508,           0.0010076,           0.0050765,           0.0050765,           0.0050765
                  55,            0.019147,           0.0054296,           0.0011274,             0.89543,              0.9805,             0.97297,             0.81141,            0.017247,           0.0052668,           0.0010004,            0.004936,            0.004936,            0.004936
                  56,            0.019851,           0.0052683,           0.0013076,             0.87714,              0.9862,             0.97301,             0.82507,            0.015817,           0.0051215,           0.0010651,            0.004796,            0.004796,            0.004796
                  57,            0.019427,           0.0052126,           0.0011606,             0.90918,             0.96321,             0.96648,             0.82469,            0.015364,           0.0050319,          0.00092321,           0.0046568,           0.0046568,           0.0046568
                  58,            0.018869,            0.005142,           0.0011522,             0.89925,             0.96182,             0.97356,             0.84307,            0.014275,           0.0049156,          0.00091433,           0.0045184,           0.0045184,           0.0045184
                  59,            0.017961,           0.0048316,           0.0011573,             0.90366,             0.95116,             0.97208,             0.82912,            0.014251,           0.0049536,          0.00091171,           0.0043809,           0.0043809,           0.0043809
                  60,            0.017938,           0.0049763,           0.0010404,             0.89796,             0.97837,             0.97925,             0.83109,            0.014828,           0.0048625,          0.00087849,           0.0042445,           0.0042445,           0.0042445
                  61,            0.017235,           0.0048078,           0.0010384,             0.90556,             0.96983,             0.97739,             0.83709,            0.014489,            0.004921,          0.00080335,           0.0041094,           0.0041094,           0.0041094
                  62,            0.017202,           0.0047438,          0.00094933,             0.89453,             0.97255,              0.9733,             0.83447,            0.014446,           0.0049626,          0.00088056,           0.0039757,           0.0039757,           0.0039757
                  63,            0.016853,           0.0047982,           0.0010198,             0.89176,              0.9757,             0.97214,             0.83008,            0.014587,           0.0049686,          0.00087802,           0.0038434,           0.0038434,           0.0038434
                  64,            0.016001,           0.0046174,          0.00091773,             0.90282,             0.96504,             0.97147,             0.83952,            0.014673,           0.0049436,          0.00083302,           0.0037128,           0.0037128,           0.0037128
                  65,            0.016387,           0.0045101,          0.00090774,             0.89971,             0.97401,             0.97649,             0.84234,            0.014396,           0.0048526,          0.00084428,            0.003584,            0.003584,            0.003584
                  66,            0.015305,           0.0045931,          0.00096414,             0.90302,             0.96617,             0.97334,             0.84147,            0.013419,           0.0048474,          0.00082615,            0.003457,            0.003457,            0.003457
                  67,            0.015363,           0.0045215,          0.00083519,             0.90441,             0.97163,             0.97486,             0.85355,             0.01313,           0.0048291,          0.00073046,           0.0033321,           0.0033321,           0.0033321
                  68,            0.015554,           0.0043311,          0.00089549,             0.89042,             0.98336,             0.97171,             0.84889,            0.013179,           0.0048277,          0.00069248,           0.0032093,           0.0032093,           0.0032093
                  69,            0.014936,           0.0045968,          0.00080707,             0.89882,             0.98216,             0.97673,             0.85923,             0.01331,            0.004736,          0.00067484,           0.0030888,           0.0030888,           0.0030888
                  70,            0.015282,           0.0043665,          0.00084017,             0.91214,             0.94887,             0.97463,             0.85246,            0.013045,           0.0047907,          0.00064641,           0.0029706,           0.0029706,           0.0029706
                  71,            0.014182,           0.0044087,          0.00070762,             0.91351,             0.96995,             0.97904,             0.86165,            0.012895,           0.0047051,          0.00067587,            0.002855,            0.002855,            0.002855
                  72,            0.014086,           0.0042798,          0.00081392,              0.9255,              0.9533,             0.98048,             0.86158,            0.013055,           0.0048103,          0.00066016,           0.0027419,           0.0027419,           0.0027419
                  73,            0.014472,           0.0046206,          0.00092928,             0.90414,              0.9694,              0.9773,             0.85064,            0.013258,           0.0049625,          0.00064032,           0.0026316,           0.0026316,           0.0026316
                  74,            0.013838,           0.0041471,           0.0007686,             0.91879,             0.96386,             0.97927,             0.85513,            0.013449,           0.0047566,          0.00064548,           0.0025241,           0.0025241,           0.0025241
                  75,            0.014039,           0.0040896,          0.00077103,             0.92974,             0.94069,             0.97923,             0.85989,            0.012468,           0.0047247,          0.00067394,           0.0024195,           0.0024195,           0.0024195
                  76,            0.014054,           0.0041563,          0.00068759,             0.89474,             0.97157,             0.97798,             0.85914,            0.012738,           0.0047615,          0.00062558,            0.002318,            0.002318,            0.002318
                  77,            0.013237,           0.0041859,          0.00080303,             0.91732,              0.9542,             0.97884,             0.86289,            0.012535,           0.0047598,          0.00058682,           0.0022196,           0.0022196,           0.0022196
                  78,             0.01314,           0.0042503,          0.00070148,             0.90928,             0.96328,              0.9801,             0.86082,            0.012634,            0.004729,           0.0005776,           0.0021245,           0.0021245,           0.0021245
                  79,            0.012861,           0.0041018,          0.00071044,             0.92096,              0.9463,             0.97876,              0.8641,            0.012238,           0.0047621,          0.00055136,           0.0020327,           0.0020327,           0.0020327
                  80,             0.01293,            0.004321,          0.00069441,             0.93252,             0.94024,             0.98025,             0.86419,            0.012431,           0.0047608,          0.00051999,           0.0019443,           0.0019443,           0.0019443
                  81,            0.012078,           0.0040099,          0.00061401,             0.92077,              0.9483,             0.97899,             0.86339,            0.012394,           0.0048956,          0.00050521,           0.0018594,           0.0018594,           0.0018594
                  82,            0.012604,           0.0042023,          0.00069737,             0.92963,             0.94643,             0.98171,             0.86522,            0.012015,           0.0047774,          0.00051042,           0.0017781,           0.0017781,           0.0017781
                  83,            0.012562,           0.0040248,          0.00063171,             0.92687,             0.96018,             0.98033,              0.8678,            0.012104,           0.0047414,          0.00050387,           0.0017005,           0.0017005,           0.0017005
