               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.027836,            0.006511,           0.0017728,             0.90166,             0.94523,             0.96762,              0.7659,            0.021159,           0.0058288,           0.0016516,           0.0076679,           0.0076679,           0.0076679
                  36,            0.026982,           0.0065973,            0.001872,             0.92518,             0.94778,             0.98007,              0.7732,            0.020798,           0.0056283,           0.0014162,            0.007543,            0.007543,            0.007543
                  37,            0.025929,           0.0063759,           0.0016532,             0.88244,             0.98154,              0.9673,              0.7891,            0.019229,           0.0055583,           0.0014269,            0.007416,            0.007416,            0.007416
                  38,            0.026217,           0.0062679,           0.0016832,             0.92017,             0.95406,              0.9762,             0.77306,            0.021004,           0.0055738,           0.0016588,           0.0072872,           0.0072872,           0.0072872
                  39,            0.026919,           0.0061502,           0.0017748,             0.90138,             0.95445,             0.97703,             0.75515,            0.020542,            0.005632,           0.0015431,           0.0071566,           0.0071566,           0.0071566
                  40,            0.024398,           0.0062108,           0.0015777,             0.86362,             0.98514,             0.96664,             0.78724,            0.018683,           0.0055332,            0.001622,           0.0070243,           0.0070243,           0.0070243
                  41,            0.023619,           0.0060486,           0.0016634,              0.9233,             0.94761,             0.97881,             0.80257,            0.018561,           0.0052527,           0.0012627,           0.0068906,           0.0068906,           0.0068906
                  42,            0.023593,           0.0058129,           0.0016701,             0.88626,             0.98744,             0.97038,             0.79933,            0.017309,           0.0052267,           0.0013425,           0.0067555,           0.0067555,           0.0067555
                  43,            0.023627,           0.0062396,           0.0013988,             0.88342,             0.98625,             0.96916,             0.79216,            0.019315,           0.0052944,           0.0012315,           0.0066191,           0.0066191,           0.0066191
                  44,            0.023016,           0.0058395,           0.0015268,             0.89075,              0.9707,             0.97655,             0.80646,            0.019955,           0.0054023,            0.001156,           0.0064816,           0.0064816,           0.0064816
                  45,            0.022796,           0.0056217,           0.0014203,             0.88926,             0.97913,             0.98056,             0.79175,            0.019131,           0.0051801,           0.0011599,           0.0063432,           0.0063432,           0.0063432
                  46,             0.02279,           0.0058661,           0.0015827,             0.90301,              0.9724,              0.9685,             0.81387,            0.017122,           0.0051042,           0.0026763,            0.006204,            0.006204,            0.006204
                  47,            0.022256,           0.0056876,           0.0016031,              0.8961,              0.9855,             0.97146,             0.81324,            0.017149,           0.0050045,           0.0014667,            0.006064,            0.006064,            0.006064
                  48,            0.020955,            0.005282,           0.0013548,             0.89699,             0.97695,             0.96822,             0.82813,            0.016078,            0.005013,           0.0012963,           0.0059235,           0.0059235,           0.0059235
                  49,            0.021688,           0.0055329,           0.0014101,             0.90581,             0.96069,             0.97224,             0.81564,            0.016315,           0.0051566,           0.0011741,           0.0057826,           0.0057826,           0.0057826
                  50,             0.02128,           0.0054975,           0.0014224,             0.90015,             0.97617,               0.961,             0.80482,            0.017441,            0.005032,           0.0011348,           0.0056413,           0.0056413,           0.0056413
                  51,            0.019809,           0.0052574,           0.0012209,             0.90071,             0.97725,             0.97491,             0.80898,            0.016887,           0.0048651,            0.001115,              0.0055,              0.0055,              0.0055
                  52,            0.021071,           0.0054221,           0.0014451,             0.90925,             0.96901,             0.97771,             0.82532,            0.017033,           0.0050492,           0.0013355,           0.0053587,           0.0053587,           0.0053587
                  53,            0.020689,           0.0051279,           0.0014095,              0.8959,             0.96252,             0.97025,             0.81935,             0.01675,           0.0050277,           0.0011364,           0.0052174,           0.0052174,           0.0052174
                  54,            0.019945,           0.0054358,            0.001189,             0.89021,             0.98014,             0.97073,             0.82947,            0.015477,           0.0048878,           0.0010467,           0.0050765,           0.0050765,           0.0050765
                  55,            0.018841,            0.005133,            0.001122,             0.89877,             0.98113,              0.9745,             0.83552,            0.015182,           0.0048147,          0.00091747,            0.004936,            0.004936,            0.004936
                  56,            0.020023,            0.004964,           0.0011402,             0.89549,              0.9887,             0.96597,             0.82098,            0.015257,           0.0047379,          0.00090234,            0.004796,            0.004796,            0.004796
                  57,            0.019086,           0.0049698,           0.0012253,             0.88955,             0.99148,             0.96732,             0.83416,               0.015,           0.0047165,          0.00094443,           0.0046568,           0.0046568,           0.0046568
                  58,            0.019252,           0.0050281,           0.0011754,             0.88146,             0.99049,             0.96908,             0.83659,            0.014574,           0.0048079,          0.00090384,           0.0045184,           0.0045184,           0.0045184
                  59,            0.017934,           0.0047253,           0.0011072,              0.8873,             0.99158,             0.97524,             0.83901,            0.014667,           0.0047592,          0.00092507,           0.0043809,           0.0043809,           0.0043809
                  60,            0.017631,           0.0047092,           0.0010782,             0.91411,             0.96603,             0.97343,              0.8382,            0.014559,            0.004674,          0.00086835,           0.0042445,           0.0042445,           0.0042445
                  61,            0.016828,           0.0045559,           0.0009427,             0.91282,             0.97135,             0.97865,             0.84683,            0.014359,           0.0046166,          0.00086125,           0.0041094,           0.0041094,           0.0041094
                  62,            0.017772,           0.0045183,           0.0010675,             0.88846,             0.98702,             0.97171,             0.84148,            0.013956,           0.0046507,          0.00086909,           0.0039757,           0.0039757,           0.0039757
                  63,            0.016508,            0.004571,          0.00097368,             0.88827,             0.98776,             0.97466,             0.84401,            0.013865,           0.0046139,          0.00079928,           0.0038434,           0.0038434,           0.0038434
                  64,            0.016078,           0.0043563,          0.00097726,              0.8799,             0.98988,             0.97788,              0.8569,            0.013604,           0.0046789,          0.00079608,           0.0037128,           0.0037128,           0.0037128
                  65,            0.015281,           0.0043269,          0.00094702,             0.88724,             0.98837,             0.97419,             0.85749,            0.013381,           0.0045643,          0.00078016,            0.003584,            0.003584,            0.003584
                  66,            0.014352,           0.0042154,          0.00092964,             0.89608,              0.9788,             0.96883,             0.84091,            0.013308,           0.0046948,          0.00072959,            0.003457,            0.003457,            0.003457
                  67,            0.015361,           0.0041932,           0.0008441,             0.89225,             0.98719,             0.97674,             0.85036,            0.013509,             0.00457,          0.00075301,           0.0033321,           0.0033321,           0.0033321
                  68,            0.014899,           0.0040494,          0.00087212,             0.91275,             0.95729,             0.97845,             0.85984,            0.012955,           0.0045787,          0.00072716,           0.0032093,           0.0032093,           0.0032093
