               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11412,            0.047215,            0.030802,             0.08063,            0.081395,            0.040891,           0.0087364,             0.10435,            0.050149,            0.029229,             0.00053,             0.00053,             0.09523
                   1,            0.094845,            0.048843,            0.023501,             0.14544,             0.33721,             0.19489,            0.036132,            0.082594,            0.054632,            0.017961,           0.0010698,           0.0010698,             0.09037
                   2,            0.082246,            0.046169,             0.01546,             0.29319,             0.60271,             0.36119,             0.08492,            0.072972,            0.046431,           0.0093815,           0.0016086,           0.0016086,            0.085509
                   3,              0.0753,             0.04133,           0.0099633,             0.42556,             0.72488,             0.56585,             0.20725,            0.066986,            0.039082,           0.0060303,           0.0021457,           0.0021457,            0.080646
                   4,            0.073908,            0.035574,           0.0067532,             0.65688,             0.48797,             0.58572,             0.17965,            0.062004,            0.034365,           0.0044827,           0.0026805,           0.0026805,             0.07578
                   5,            0.074963,            0.030535,           0.0048959,             0.66584,             0.47752,             0.48107,             0.15331,            0.074878,             0.02964,           0.0031504,           0.0032121,           0.0032121,            0.070912
                   6,            0.073125,            0.025762,           0.0041636,             0.45034,             0.60969,             0.53433,             0.20671,            0.065631,            0.030744,           0.0029737,             0.00374,             0.00374,             0.06604
                   7,            0.072443,            0.028194,           0.0037949,             0.51728,             0.61395,             0.58122,             0.18556,             0.06491,            0.027709,           0.0030185,           0.0042633,           0.0042633,            0.061163
                   8,            0.071982,            0.026161,           0.0039574,              0.5481,             0.91434,             0.71438,             0.22926,            0.059313,            0.026971,           0.0031149,           0.0047814,           0.0047814,            0.056281
                   9,            0.074573,            0.024226,           0.0037283,               0.542,             0.75736,              0.6385,             0.21703,            0.067939,            0.027308,           0.0032254,           0.0052937,           0.0052937,            0.051394
                  10,            0.072702,            0.024873,           0.0034422,             0.49968,             0.66491,             0.57751,             0.20735,            0.072803,            0.023064,           0.0027283,           0.0057994,           0.0057994,            0.046499
