               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030436,           0.0074955,           0.0020795,             0.91209,             0.95155,              0.9663,             0.71764,            0.022815,           0.0062529,           0.0015628,           0.0076679,           0.0076679,           0.0076679
                  36,            0.028021,           0.0075988,           0.0019267,             0.85312,             0.96705,             0.95393,             0.69619,            0.022156,           0.0066118,           0.0017136,            0.007543,            0.007543,            0.007543
                  37,            0.027925,           0.0073201,           0.0020808,             0.92164,             0.95964,             0.97157,             0.76042,            0.020839,           0.0061071,           0.0018413,            0.007416,            0.007416,            0.007416
                  38,            0.025713,           0.0072745,           0.0018419,               0.915,             0.95119,             0.96899,             0.76019,            0.020212,            0.005954,           0.0014789,           0.0072872,           0.0072872,           0.0072872
                  39,             0.02648,           0.0068735,           0.0018064,             0.91716,             0.94603,             0.96402,             0.70412,            0.021535,           0.0060461,           0.0016332,           0.0071566,           0.0071566,           0.0071566
                  40,            0.025869,           0.0068828,           0.0016783,             0.91226,             0.95721,             0.96869,             0.77125,            0.022128,           0.0060264,           0.0013566,           0.0070243,           0.0070243,           0.0070243
                  41,            0.026443,           0.0070369,           0.0018283,             0.89208,             0.97592,             0.96756,             0.76367,            0.020875,           0.0058371,           0.0013429,           0.0068906,           0.0068906,           0.0068906
                  42,            0.025192,            0.006636,           0.0017761,             0.90417,             0.95324,              0.9654,              0.7617,            0.018699,           0.0058188,           0.0013583,           0.0067555,           0.0067555,           0.0067555
                  43,            0.024375,           0.0070624,           0.0015565,              0.8699,             0.97969,             0.96485,             0.75515,            0.020589,           0.0061823,           0.0012383,           0.0066191,           0.0066191,           0.0066191
                  44,            0.024357,           0.0066408,            0.001555,             0.91998,             0.94019,             0.96673,             0.74767,            0.020711,           0.0059053,            0.001249,           0.0064816,           0.0064816,           0.0064816
                  45,            0.024965,           0.0066047,           0.0016504,             0.90286,             0.96724,             0.97014,             0.76262,            0.019074,           0.0056987,           0.0013428,           0.0063432,           0.0063432,           0.0063432
                  46,            0.023773,           0.0067972,           0.0014166,               0.879,               0.981,             0.96372,             0.74915,            0.019674,           0.0058593,           0.0011424,            0.006204,            0.006204,            0.006204
                  47,            0.023671,           0.0065595,           0.0013962,             0.89329,             0.96392,             0.96416,             0.75843,            0.018679,            0.005938,            0.001428,            0.006064,            0.006064,            0.006064
