               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1066,            0.048817,             0.02715,                   0,                   0,                   0,                   0,                   0,            0.013509,                   0,             0.00118,             0.00118,             0.08938
                   1,            0.078721,            0.047547,            0.012197,                   0,                   0,                   0,                   0,                   0,            0.016473,                   0,           0.0023695,           0.0023695,            0.078669
                   2,            0.070739,            0.036124,           0.0063325,                   0,                   0,                   0,                   0,                   0,            0.010042,                   0,           0.0035568,           0.0035568,            0.067957
                   3,            0.072392,            0.032909,           0.0038542,                   0,                   0,                   0,                   0,                   0,            0.010594,                   0,           0.0047405,           0.0047405,            0.057241
                   4,            0.072586,            0.029695,           0.0030981,                   0,                   0,                   0,                   0,                   0,           0.0075853,                   0,           0.0059189,           0.0059189,            0.046519
                   5,            0.068778,             0.02792,           0.0032613,                   0,                   0,                   0,                   0,                   0,           0.0090267,                   0,           0.0070905,           0.0070905,             0.03579
                   6,            0.068549,            0.027643,           0.0036306,                   0,                   0,                   0,                   0,                   0,           0.0089161,                   0,           0.0082537,           0.0082537,            0.025054
                   7,            0.066217,            0.028213,           0.0033058,                   0,                   0,                   0,                   0,                   0,           0.0081482,                   0,           0.0094069,           0.0094069,            0.014307
                   8,             0.06624,            0.028743,           0.0034229,                   0,                   0,                   0,                   0,                   0,             0.00993,                   0,           0.0098586,           0.0098586,           0.0098586
                   9,            0.057594,            0.028123,           0.0024435,                   0,                   0,                   0,                   0,                   0,            0.011105,                   0,           0.0098586,           0.0098586,           0.0098586
                  10,            0.052917,            0.026158,           0.0024125,                   0,                   0,                   0,                   0,                   0,            0.012419,                   0,           0.0098213,           0.0098213,           0.0098213
                  11,            0.052088,            0.027684,           0.0021794,                   0,                   0,                   0,                   0,                   0,            0.011591,                   0,           0.0097798,           0.0097798,           0.0097798
                  12,            0.050036,            0.026563,           0.0017533,                   0,                   0,                   0,                   0,                   0,            0.010952,                   0,            0.009734,            0.009734,            0.009734
                  13,            0.047715,             0.02443,           0.0018607,                   0,                   0,                   0,                   0,                   0,            0.011878,                   0,            0.009684,            0.009684,            0.009684
                  14,            0.043518,            0.023916,           0.0015589,                   0,                   0,                   0,                   0,                   0,            0.011775,                   0,           0.0096299,           0.0096299,           0.0096299
                  15,            0.043692,            0.025116,           0.0016145,                   0,                   0,                   0,                   0,                   0,            0.012604,                   0,           0.0095717,           0.0095717,           0.0095717
                  16,            0.043426,            0.025356,            0.001187,                   0,                   0,                   0,                   0,                   0,             0.01227,                   0,           0.0095095,           0.0095095,           0.0095095
                  17,             0.04514,            0.025196,           0.0012084,                   0,                   0,                   0,                   0,                   0,            0.013367,                   0,           0.0094434,           0.0094434,           0.0094434
                  18,            0.040281,            0.024264,           0.0011675,                   0,                   0,                   0,                   0,                   0,            0.013116,                   0,           0.0093733,           0.0093733,           0.0093733
                  19,             0.03862,            0.024343,           0.0010826,                   0,                   0,                   0,                   0,                   0,            0.013749,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,            0.036775,            0.024674,           0.0011294,                   0,                   0,                   0,                   0,                   0,            0.013691,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.039571,            0.025214,           0.0011563,                   0,                   0,                   0,                   0,                   0,            0.013254,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.040104,            0.024697,           0.0011078,                   0,                   0,                   0,                   0,                   0,            0.014236,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,            0.036784,             0.02474,            0.001098,                   0,                   0,                   0,                   0,                   0,            0.015065,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.038793,            0.022975,          0.00090647,                   0,                   0,                   0,                   0,                   0,            0.013531,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.036747,            0.021675,          0.00094274,                   0,                   0,                   0,                   0,                   0,            0.014532,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.037972,            0.023689,          0.00085045,                   0,                   0,                   0,                   0,                   0,            0.014048,                   0,            0.008682,            0.008682,            0.008682
                  27,            0.037446,            0.022106,           0.0008318,                   0,                   0,                   0,                   0,                   0,            0.013939,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.037139,            0.022778,          0.00087502,                   0,                   0,                   0,                   0,                   0,            0.013933,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.036991,            0.022413,          0.00076986,                   0,                   0,                   0,                   0,                   0,            0.014623,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.035879,             0.02144,          0.00089791,                   0,                   0,                   0,                   0,                   0,            0.014888,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,            0.035641,            0.023074,          0.00070145,                   0,                   0,                   0,                   0,                   0,            0.014613,                   0,            0.008145,            0.008145,            0.008145
                  32,            0.034605,            0.023494,          0.00075069,                   0,                   0,                   0,                   0,                   0,            0.015124,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.033345,            0.021201,          0.00066985,                   0,                   0,                   0,                   0,                   0,            0.016328,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,             0.03546,            0.023335,          0.00078543,                   0,                   0,                   0,                   0,                   0,             0.01362,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,            0.035415,            0.022066,          0.00063057,                   0,                   0,                   0,                   0,                   0,            0.014768,                   0,           0.0076679,           0.0076679,           0.0076679
                  36,            0.032331,             0.02082,          0.00066676,                   0,                   0,                   0,                   0,                   0,            0.016173,                   0,            0.007543,            0.007543,            0.007543
                  37,            0.031111,            0.020327,          0.00055608,                   0,                   0,                   0,                   0,                   0,            0.015891,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.032538,            0.020418,           0.0005628,                   0,                   0,                   0,                   0,                   0,            0.016079,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.032697,            0.020677,          0.00054644,                   0,                   0,                   0,                   0,                   0,            0.016549,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.032275,            0.021057,          0.00054887,                   0,                   0,                   0,                   0,                   0,            0.016439,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.030887,            0.021079,          0.00054902,                   0,                   0,                   0,                   0,                   0,            0.017041,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,             0.03169,            0.020152,          0.00059416,                   0,                   0,                   0,                   0,                   0,            0.016434,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.030914,            0.020198,          0.00051253,                   0,                   0,                   0,                   0,                   0,            0.016738,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.032185,             0.02045,           0.0005101,                   0,                   0,                   0,                   0,                   0,            0.017226,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.030491,            0.019668,          0.00053681,                   0,                   0,                   0,                   0,                   0,            0.017357,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.029128,            0.019859,          0.00052506,                   0,                   0,                   0,                   0,                   0,            0.017134,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.029699,            0.019649,           0.0003939,                   0,                   0,                   0,                   0,                   0,            0.017025,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.030851,            0.019648,           0.0003635,                   0,                   0,                   0,                   0,                   0,            0.017448,                   0,           0.0059235,           0.0059235,           0.0059235
